               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.010617,           0.0071267,                   0,             0.99999,                   1,               0.995,             0.92239,           0.0029668,           0.0017758,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.009849,           0.0068369,                   0,             0.99999,                   1,               0.995,             0.92079,           0.0028394,           0.0017903,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,            0.011024,           0.0066892,                   0,             0.99999,                   1,               0.995,             0.92028,           0.0029241,           0.0018241,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,           0.0097211,           0.0067062,                   0,             0.99999,                   1,               0.995,              0.9155,            0.003016,           0.0019722,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,           0.0097563,            0.006985,                   0,             0.99999,                   1,               0.995,             0.91394,           0.0029062,           0.0018131,                   0,            0.003584,            0.003584,            0.003584
                  66,            0.011268,           0.0068622,                   0,                   1,                   1,               0.995,             0.91047,           0.0029811,           0.0018268,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.009873,           0.0065983,                   0,                   1,                   1,               0.995,             0.90921,           0.0030456,           0.0018807,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,           0.0098816,           0.0063827,                   0,                   1,                   1,               0.995,             0.91352,           0.0029243,            0.001839,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.010662,           0.0064881,                   0,             0.99999,                   1,               0.995,             0.91871,           0.0028155,           0.0017492,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,           0.0091294,           0.0061553,                   0,                   1,                   1,               0.995,             0.92387,           0.0028159,           0.0018034,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,            0.008617,           0.0064481,                   0,             0.99999,                   1,               0.995,             0.91611,           0.0030894,           0.0018534,                   0,            0.002855,            0.002855,            0.002855
                  72,           0.0092163,           0.0066253,                   0,             0.99999,                   1,               0.995,             0.92176,           0.0028363,           0.0017845,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,           0.0077165,           0.0064984,                   0,                   1,                   1,               0.995,             0.91602,           0.0027487,           0.0017793,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,           0.0089673,           0.0066946,                   0,                   1,                   1,               0.995,             0.91042,           0.0028275,           0.0018345,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,            0.010457,           0.0069195,                   0,             0.99994,                   1,               0.995,             0.91986,           0.0027746,           0.0018069,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,           0.0091465,           0.0062667,                   0,                   1,                   1,               0.995,             0.90883,            0.002989,           0.0018394,                   0,            0.002318,            0.002318,            0.002318
                  77,           0.0084483,           0.0067854,                   0,                   1,                   1,               0.995,             0.91647,           0.0028672,           0.0018821,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,           0.0081477,           0.0063751,                   0,                   1,                   1,               0.995,             0.92036,           0.0027595,           0.0017629,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,           0.0081884,           0.0063034,                   0,             0.99999,                   1,               0.995,             0.91679,           0.0028187,           0.0017617,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,           0.0090629,           0.0065972,                   0,                   1,                   1,               0.995,             0.90537,           0.0029324,           0.0019582,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,           0.0074177,           0.0062187,                   0,             0.99999,                   1,               0.995,             0.91578,           0.0027482,           0.0018475,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,           0.0080143,           0.0060893,                   0,             0.99999,                   1,               0.995,             0.92517,           0.0027046,           0.0017674,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,           0.0084469,            0.006122,                   0,             0.99999,                   1,               0.995,             0.91676,           0.0027765,           0.0018384,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,           0.0066992,           0.0057092,                   0,             0.99999,                   1,               0.995,             0.91925,           0.0028085,           0.0018525,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,           0.0077874,            0.005836,                   0,                   1,                   1,               0.995,             0.92124,           0.0028545,           0.0019004,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,            0.010169,           0.0061107,                   0,             0.99999,                   1,               0.995,             0.92312,           0.0028138,            0.001784,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,           0.0087934,           0.0062666,                   0,                   1,                   1,               0.995,             0.91727,           0.0028318,           0.0018039,                   0,           0.0014283,           0.0014283,           0.0014283
                  88,           0.0087506,           0.0064515,                   0,             0.99999,                   1,               0.995,             0.91974,           0.0028218,            0.001844,                   0,           0.0013701,           0.0013701,           0.0013701
                  89,           0.0085218,           0.0062498,                   0,             0.99999,                   1,               0.995,             0.92481,           0.0027031,            0.001755,                   0,            0.001316,            0.001316,            0.001316
                  90,           0.0070441,            0.005997,                   0,                   1,                   1,               0.995,              0.9197,           0.0028327,           0.0018556,                   0,            0.001266,            0.001266,            0.001266
                  91,           0.0087164,           0.0060199,                   0,             0.99999,                   1,               0.995,             0.92024,           0.0028098,           0.0018778,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,           0.0091116,           0.0058443,                   0,             0.99999,                   1,               0.995,             0.92489,           0.0027871,           0.0018244,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,           0.0083066,           0.0058128,                   0,                   1,             0.99999,               0.995,             0.92095,           0.0028788,           0.0018804,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,           0.0065798,           0.0060583,                   0,             0.99999,                   1,               0.995,             0.92055,           0.0028141,           0.0018247,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,           0.0078181,           0.0058398,                   0,                   1,                   1,               0.995,             0.92687,           0.0028152,           0.0018184,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,           0.0077835,           0.0060533,                   0,             0.99999,                   1,               0.995,             0.92304,           0.0027936,           0.0018143,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,           0.0077911,           0.0059054,                   0,             0.99999,                   1,               0.995,             0.92403,           0.0027776,           0.0018328,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,           0.0065844,           0.0056429,                   0,                   1,                   1,               0.995,             0.92573,           0.0027547,           0.0018256,                   0,             0.00102,             0.00102,             0.00102
                  99,           0.0079405,           0.0058708,                   0,                   1,                   1,               0.995,             0.92154,           0.0028113,           0.0018808,                   0,           0.0010089,           0.0010089,           0.0010089
